date,product,unit,weight_dinar,pg_sell,pg_buy
2025-03-21T00:00:00Z,gap,gram,NA,NA,0
2025-03-21T00:00:00Z,gap,gram,NA,1,0
2025-03-21T00:00:00Z,gold_bar,gram,10,4675,4254
2025-03-21T00:00:00Z,gold_bar,gram,20,9328,8582
2025-03-21T00:00:00Z,gold_bar,gram,50,23213,21472
2025-03-21T00:00:00Z,gold_bar,gram,100,46210,42975
2025-03-21T00:00:00Z,gold_bar,gram,250,115147,108238
2025-03-21T00:00:00Z,gold_bar,gram,1000,460588,432953
2025-03-21T00:00:00Z,gold_wafer_24k,dinar,1,1987,1808
2025-03-21T00:00:00Z,gold_wafer_24k,dinar,5,9934,9139
2025-03-21T00:00:00Z,gold_wafer_24k,dinar,10,19868,18378
2025-03-21T00:00:00Z,small_bar,gram,386,NA,0
2025-03-21T00:00:00Z,small_bar,gram,NA,NA,0
2025-03-21T00:00:00Z,small_bar,gram,1,1792,0
2025-03-21T00:00:00Z,small_bar,gram,1613,NA,0
2025-03-21T00:00:00Z,bungamas,gram,275,1,520
2025-03-21T00:00:00Z,bungamas,gram,1,555,1
2025-03-21T00:00:00Z,bungamas,gram,1085,5,2450
2025-03-21T00:00:00Z,bungamas,gram,NA,NA,999
2025-03-21T00:00:00Z,flexibar,gram,470,427,NA
2025-03-21T00:00:00Z,gold_wafer_22k,dinar,NA,100,NA
2025-03-21T00:00:00Z,gold_jewel,gram,100,0,NA
