date,product,unit,weight_dinar,pg_sell,pg_buy
2023-07-22T00:00:00Z,gap,gram,NA,NA,0
2023-07-22T00:00:00Z,gap,gram,NA,1,0
2023-07-22T00:00:00Z,gold_bar,gram,10,3106,2826
2023-07-22T00:00:00Z,gold_bar,gram,20,6197,5701
2023-07-22T00:00:00Z,gold_bar,gram,50,15421,14264
2023-07-22T00:00:00Z,gold_bar,gram,100,30698,28549
2023-07-22T00:00:00Z,gold_bar,gram,250,76495,71906
2023-07-22T00:00:00Z,gold_bar,gram,1000,305981,287622
2023-07-22T00:00:00Z,gold_wafer_24k,dinar,1,1320,1201
2023-07-22T00:00:00Z,gold_wafer_24k,dinar,5,6599,6071
2023-07-22T00:00:00Z,gold_wafer_24k,dinar,10,13199,12209
2023-07-22T00:00:00Z,small_bar,gram,0.5,205,0
2023-07-22T00:00:00Z,small_bar,gram,1,380,0
2023-07-22T00:00:00Z,small_bar,gram,1,405,0
2023-07-22T00:00:00Z,small_bar,gram,1,790,0
2023-07-22T00:00:00Z,bungamas,gram,10,3106,2826
2023-07-22T00:00:00Z,bungamas,gram,20,6197,5701
2023-07-22T00:00:00Z,bungamas,gram,50,15421,14264
2023-07-22T00:00:00Z,bungamas,gram,100,30698,28549
2023-07-22T00:00:00Z,flexibar,gram,NA,NA,50
2023-07-22T00:00:00Z,gold_wafer_22k,dinar,NA,NA,1
2023-07-22T00:00:00Z,gold_jewel,gram,NA,0,NA
