date,product,unit,weight_dinar,pg_sell,pg_buy
2026-05-02T00:00:00Z,gap,gram,1,640,0
2026-05-02T00:00:00Z,gap,gram,NA,NA,0
2026-05-02T00:00:00Z,gold_bar,gram,31728,29348,100
2026-05-02T00:00:00Z,gold_bar,gram,63161,58740,250
2026-05-02T00:00:00Z,gold_bar,gram,157387,147944,1000
2026-05-02T00:00:00Z,gold_bar,gram,629549,591776,NA
2026-05-02T00:00:00Z,gold_bar,gram,NA,NA,1
2026-05-02T00:00:00Z,gold_bar,gram,2716,2471,5
2026-05-02T00:00:00Z,gold_wafer_24k,dinar,NA,NA,5
2026-05-02T00:00:00Z,gold_wafer_24k,dinar,3201,2913,10
2026-05-02T00:00:00Z,gold_wafer_24k,dinar,6401,5825,20
2026-05-02T00:00:00Z,small_bar,gram,10,27156,0
2026-05-02T00:00:00Z,small_bar,gram,25120,999,0
2026-05-02T00:00:00Z,small_bar,dinar,0.25,582,0
2026-05-02T00:00:00Z,small_bar,dinar,0.5,608,0
2026-05-02T00:00:00Z,small_bar,gram,528,NA,0
2026-05-02T00:00:00Z,gold_wafer_22k,dinar,1,690,1
2026-05-02T00:00:00Z,jewellary_24k,gram,NA,100,NA
