date,product,unit,weight_dinar,pg_sell,pg_buy
NA,gap,gram,1,616,0
NA,gap,gram,NA,NA,0
NA,gold_bar,gram,30524,28234,100
NA,gold_bar,gram,60762,56509,250
NA,gold_bar,gram,151408,142324,1000
NA,gold_bar,gram,605632,569294,NA
NA,gold_bar,gram,NA,NA,1
NA,gold_bar,gram,2613,2378,5
NA,gold_wafer_24k,dinar,NA,NA,5
NA,gold_wafer_24k,dinar,3079,2802,10
NA,gold_wafer_24k,dinar,6159,5604,20
NA,small_bar,gram,10,26126,0
NA,small_bar,gram,24167,999,0
NA,small_bar,dinar,0.25,560,0
NA,small_bar,dinar,0.5,586,0
NA,small_bar,gram,509,NA,0
NA,gold_wafer_22k,dinar,1,670,1
NA,jewellary_24k,gram,NA,100,NA
