date,product,unit,weight_dinar,pg_sell,pg_buy
2025-11-11T00:00:00Z,gap,gram,1,599,0
2025-11-11T00:00:00Z,gap,gram,NA,NA,0
2025-11-11T00:00:00Z,gold_bar,gram,59128,54989,250
2025-11-11T00:00:00Z,gold_bar,gram,147337,138497,1000
2025-11-11T00:00:00Z,gold_bar,gram,589348,553987,NA
2025-11-11T00:00:00Z,gold_bar,gram,NA,NA,1
2025-11-11T00:00:00Z,gold_bar,gram,2542,2313,5
2025-11-11T00:00:00Z,gold_bar,gram,12711,11694,10
2025-11-11T00:00:00Z,gold_wafer_24k,dinar,NA,NA,10
2025-11-11T00:00:00Z,gold_wafer_24k,dinar,5993,5453,20
2025-11-11T00:00:00Z,gold_wafer_24k,dinar,11936,10981,50
2025-11-11T00:00:00Z,small_bar,gram,999,599,0
2025-11-11T00:00:00Z,small_bar,gram,545,916,0
2025-11-11T00:00:00Z,small_bar,dinar,0.25,495,0
2025-11-11T00:00:00Z,small_bar,dinar,0.5,NA,0
2025-11-11T00:00:00Z,small_bar,gram,999,535,0
2025-11-11T00:00:00Z,gold_wafer_22k,dinar,695,1,1360
2025-11-11T00:00:00Z,jewellary_24k,gram,100,100,783
