date,product,unit,weight_dinar,pg_sell,pg_buy
2026-08-11T00:00:00Z,gap,gram,1,627,0
2026-08-11T00:00:00Z,gap,gram,NA,NA,0
2026-08-11T00:00:00Z,gold_bar,gram,31072,28741,100
2026-08-11T00:00:00Z,gold_bar,gram,61855,57525,250
2026-08-11T00:00:00Z,gold_bar,gram,154132,144884,1000
2026-08-11T00:00:00Z,gold_bar,gram,616529,579537,NA
2026-08-11T00:00:00Z,gold_bar,gram,NA,NA,1
2026-08-11T00:00:00Z,gold_bar,gram,2659,2420,5
2026-08-11T00:00:00Z,gold_wafer_24k,dinar,NA,NA,5
2026-08-11T00:00:00Z,gold_wafer_24k,dinar,3135,2852,10
2026-08-11T00:00:00Z,gold_wafer_24k,dinar,6269,5705,20
2026-08-11T00:00:00Z,small_bar,gram,10,26595,0
2026-08-11T00:00:00Z,small_bar,gram,24600,999,0
2026-08-11T00:00:00Z,small_bar,dinar,0.25,570,0
2026-08-11T00:00:00Z,small_bar,dinar,0.5,596,0
2026-08-11T00:00:00Z,small_bar,gram,518,NA,0
2026-08-11T00:00:00Z,gold_wafer_22k,dinar,1,680,1
2026-08-11T00:00:00Z,jewellary_24k,gram,NA,100,NA
