date,product,unit,weight_dinar,pg_sell,pg_buy
NA,gap,gram,1,603,0
NA,gap,gram,NA,NA,0
NA,gold_bar,gram,29908,27665,100
NA,gold_bar,gram,59538,55370,250
NA,gold_bar,gram,148357,139456,1000
NA,gold_bar,gram,593429,557823,NA
NA,gold_bar,gram,NA,NA,1
NA,gold_bar,gram,2560,2330,5
NA,gold_wafer_24k,dinar,NA,NA,5
NA,gold_wafer_24k,dinar,3017,2746,10
NA,gold_wafer_24k,dinar,6035,5492,20
NA,small_bar,gram,10,25600,0
NA,small_bar,gram,23680,999,0
NA,small_bar,dinar,0.25,548,0
NA,small_bar,dinar,0.5,573,0
NA,small_bar,gram,498,NA,0
NA,gold_wafer_22k,dinar,1,655,1
NA,jewellary_24k,gram,NA,100,NA
