date,product,unit,weight_dinar,pg_sell,pg_buy
2026-08-25T00:00:00Z,gap,gram,1,648,0
2026-08-25T00:00:00Z,gap,gram,NA,NA,0
2026-08-25T00:00:00Z,gold_bar,gram,32214,29798,100
2026-08-25T00:00:00Z,gold_bar,gram,64128,59639,250
2026-08-25T00:00:00Z,gold_bar,gram,159793,150206,1000
2026-08-25T00:00:00Z,gold_bar,gram,639173,600823,NA
2026-08-25T00:00:00Z,gold_bar,gram,NA,NA,1
2026-08-25T00:00:00Z,gold_bar,gram,2757,2509,5
2026-08-25T00:00:00Z,gold_wafer_24k,dinar,NA,NA,5
2026-08-25T00:00:00Z,gold_wafer_24k,dinar,3250,2957,10
2026-08-25T00:00:00Z,gold_wafer_24k,dinar,6500,5915,20
2026-08-25T00:00:00Z,small_bar,gram,10,27573,0
2026-08-25T00:00:00Z,small_bar,gram,25505,999,0
2026-08-25T00:00:00Z,small_bar,dinar,0.25,589,0
2026-08-25T00:00:00Z,small_bar,dinar,0.5,616,0
2026-08-25T00:00:00Z,small_bar,gram,535,NA,0
2026-08-25T00:00:00Z,gold_wafer_22k,dinar,1,700,1
2026-08-25T00:00:00Z,jewellary_24k,gram,NA,100,NA
