date,product,unit,weight_dinar,pg_sell,pg_buy
2022-07-20T00:00:00Z,gap,gram,0.3774,100,0
2022-07-20T00:00:00Z,gap,gram,1,265,0
2022-07-20T00:00:00Z,gold_bar,gram,10,2642,2405
2022-07-20T00:00:00Z,gold_bar,gram,20,5273,4851
2022-07-20T00:00:00Z,gold_bar,gram,50,13121,12137
2022-07-20T00:00:00Z,gold_bar,gram,100,26120,24292
2022-07-20T00:00:00Z,gold_bar,gram,250,65088,61183
2022-07-20T00:00:00Z,gold_bar,gram,1000,260352,244731
2022-07-20T00:00:00Z,gold_wafer_24k,dinar,1,1123,1022
2022-07-20T00:00:00Z,gold_wafer_24k,dinar,5,5615,5166
2022-07-20T00:00:00Z,gold_wafer_24k,dinar,10,11231,10388
2022-07-20T00:00:00Z,small_bar,gram,0.5,180,0
2022-07-20T00:00:00Z,small_bar,gram,1,350,0
2022-07-20T00:00:00Z,small_bar,gram,1,725,0
2022-07-20T00:00:00Z,small_bar,gram,5,1650,0
2022-07-20T00:00:00Z,bungamas,gram,10,2642,2405
2022-07-20T00:00:00Z,bungamas,gram,20,5273,4851
2022-07-20T00:00:00Z,bungamas,gram,50,13121,12137
2022-07-20T00:00:00Z,bungamas,gram,100,26120,24292
2022-07-20T00:00:00Z,flexibar,gram,50,13700,12330
2022-07-20T00:00:00Z,gold_wafer_22k,dinar,1,1013,912
2022-07-20T00:00:00Z,gold_jewel,gram,1,0,210
