date,product,unit,weight_dinar,pg_sell,pg_buy
2023-10-11T00:00:00Z,gap,gram,NA,NA,0
2023-10-11T00:00:00Z,gap,gram,NA,1,0
2023-10-11T00:00:00Z,gold_bar,gram,10,3089,2811
2023-10-11T00:00:00Z,gold_bar,gram,20,6163,5670
2023-10-11T00:00:00Z,gold_bar,gram,50,15337,14187
2023-10-11T00:00:00Z,gold_bar,gram,100,30531,28394
2023-10-11T00:00:00Z,gold_bar,gram,250,76080,71515
2023-10-11T00:00:00Z,gold_bar,gram,1000,304319,286059
2023-10-11T00:00:00Z,gold_wafer_24k,dinar,1,1313,1195
2023-10-11T00:00:00Z,gold_wafer_24k,dinar,5,6564,6038
2023-10-11T00:00:00Z,gold_wafer_24k,dinar,10,13127,12143
2023-10-11T00:00:00Z,small_bar,gram,14412,NA,0
2023-10-11T00:00:00Z,small_bar,gram,NA,999,0
2023-10-11T00:00:00Z,small_bar,gram,272,916,0
2023-10-11T00:00:00Z,small_bar,gram,249,NA,0
2023-10-11T00:00:00Z,bungamas,gram,205,1,380
2023-10-11T00:00:00Z,bungamas,gram,1,405,1
2023-10-11T00:00:00Z,bungamas,gram,790,5,1750
2023-10-11T00:00:00Z,bungamas,gram,NA,NA,NA
2023-10-11T00:00:00Z,flexibar,gram,1184,1066,NA
2023-10-11T00:00:00Z,gold_wafer_22k,dinar,NA,100,NA
2023-10-11T00:00:00Z,gold_jewel,gram,100,0,NA
