date,product,unit,weight_dinar,pg_sell,pg_buy
2025-11-03T00:00:00Z,gap,gram,1,588,0
2025-11-03T00:00:00Z,gap,gram,NA,NA,0
2025-11-03T00:00:00Z,gold_bar,gram,58117,54048,250
2025-11-03T00:00:00Z,gold_bar,gram,144817,136128,1000
2025-11-03T00:00:00Z,gold_bar,gram,579268,544512,NA
2025-11-03T00:00:00Z,gold_bar,gram,NA,NA,1
2025-11-03T00:00:00Z,gold_bar,gram,2499,2274,5
2025-11-03T00:00:00Z,gold_bar,gram,12494,11494,10
2025-11-03T00:00:00Z,gold_wafer_24k,dinar,NA,NA,10
2025-11-03T00:00:00Z,gold_wafer_24k,dinar,5890,5360,20
2025-11-03T00:00:00Z,gold_wafer_24k,dinar,11732,10793,50
2025-11-03T00:00:00Z,small_bar,gram,999,588,0
2025-11-03T00:00:00Z,small_bar,gram,535,916,0
2025-11-03T00:00:00Z,small_bar,dinar,0.25,486,0
2025-11-03T00:00:00Z,small_bar,dinar,0.5,NA,0
2025-11-03T00:00:00Z,small_bar,gram,999,525,0
2025-11-03T00:00:00Z,gold_wafer_22k,dinar,680,1,1340
2025-11-03T00:00:00Z,jewellary_24k,gram,100,NA,100
