date,product,unit,weight_dinar,pg_sell,pg_buy
2022-07-09T00:00:00Z,gap,gram,0.3717,100,0
2022-07-09T00:00:00Z,gap,gram,1,269,0
2022-07-09T00:00:00Z,gold_bar,gram,10,2687,2446
2022-07-09T00:00:00Z,gold_bar,gram,20,5362,4933
2022-07-09T00:00:00Z,gold_bar,gram,50,13344,12343
2022-07-09T00:00:00Z,gold_bar,gram,100,26564,24705
2022-07-09T00:00:00Z,gold_bar,gram,250,66194,62223
2022-07-09T00:00:00Z,gold_bar,gram,1000,264778,248891
2022-07-09T00:00:00Z,gold_wafer_24k,dinar,1,1142,1039
2022-07-09T00:00:00Z,gold_wafer_24k,dinar,5,5711,5254
2022-07-09T00:00:00Z,gold_wafer_24k,dinar,10,11421,10565
2022-07-09T00:00:00Z,small_bar,gram,0.5,180,0
2022-07-09T00:00:00Z,small_bar,gram,1,350,0
2022-07-09T00:00:00Z,small_bar,gram,1,725,0
2022-07-09T00:00:00Z,small_bar,gram,5,1650,0
2022-07-09T00:00:00Z,bungamas,gram,10,2687,2446
2022-07-09T00:00:00Z,bungamas,gram,20,5362,4933
2022-07-09T00:00:00Z,bungamas,gram,50,13344,12343
2022-07-09T00:00:00Z,bungamas,gram,100,26564,24705
2022-07-09T00:00:00Z,flexibar,gram,50,13932,12539
2022-07-09T00:00:00Z,gold_wafer_22k,dinar,1,1030,927
2022-07-09T00:00:00Z,gold_jewel,gram,1,0,213
