date,product,unit,weight_dinar,pg_sell,pg_buy
2025-01-12T00:00:00Z,gap,gram,NA,NA,0
2025-01-12T00:00:00Z,gap,gram,NA,1,0
2025-01-12T00:00:00Z,gold_bar,gram,10,4221,3841
2025-01-12T00:00:00Z,gold_bar,gram,20,8423,7749
2025-01-12T00:00:00Z,gold_bar,gram,50,20959,19387
2025-01-12T00:00:00Z,gold_bar,gram,100,41724,38803
2025-01-12T00:00:00Z,gold_bar,gram,250,103969,97731
2025-01-12T00:00:00Z,gold_bar,gram,1000,415877,390924
2025-01-12T00:00:00Z,gold_wafer_24k,dinar,1,1794,1632
2025-01-12T00:00:00Z,gold_wafer_24k,dinar,5,8970,8252
2025-01-12T00:00:00Z,gold_wafer_24k,dinar,10,17939,16594
2025-01-12T00:00:00Z,small_bar,gram,347,NA,0
2025-01-12T00:00:00Z,small_bar,gram,NA,NA,0
2025-01-12T00:00:00Z,small_bar,gram,1,1618,0
2025-01-12T00:00:00Z,small_bar,gram,1456,NA,0
2025-01-12T00:00:00Z,bungamas,gram,255,1,475
2025-01-12T00:00:00Z,bungamas,gram,1,505,1
2025-01-12T00:00:00Z,bungamas,gram,990,5,2225
2025-01-12T00:00:00Z,bungamas,gram,NA,NA,999
2025-01-12T00:00:00Z,flexibar,gram,423,384,NA
2025-01-12T00:00:00Z,gold_wafer_22k,dinar,NA,100,NA
2025-01-12T00:00:00Z,gold_jewel,gram,100,0,NA
