date,product,unit,weight_dinar,pg_sell,pg_buy
2021-12-16T00:00:00Z,gap,gram,0.3831,100,0
2021-12-16T00:00:00Z,gap,gram,1,261,0
2021-12-16T00:00:00Z,gold_bar,gram,10,2634,2397
2021-12-16T00:00:00Z,gold_bar,gram,20,5255,4835
2021-12-16T00:00:00Z,gold_bar,gram,50,13077,12096
2021-12-16T00:00:00Z,gold_bar,gram,100,26032,24210
2021-12-16T00:00:00Z,gold_bar,gram,250,64867,60975
2021-12-16T00:00:00Z,gold_bar,gram,1000,259468,243900
2021-12-16T00:00:00Z,gold_wafer_24k,dinar,1,1119,1019
2021-12-16T00:00:00Z,gold_wafer_24k,dinar,5,5596,5149
2021-12-16T00:00:00Z,gold_wafer_24k,dinar,10,11192,10353
2021-12-16T00:00:00Z,small_bar,gram,0.5,180,0
2021-12-16T00:00:00Z,small_bar,gram,1,350,0
2021-12-16T00:00:00Z,small_bar,gram,1,725,0
2021-12-16T00:00:00Z,small_bar,gram,5,1650,0
2021-12-16T00:00:00Z,bungamas,gram,10,2634,2397
2021-12-16T00:00:00Z,bungamas,gram,20,5255,4835
2021-12-16T00:00:00Z,bungamas,gram,50,13077,12096
2021-12-16T00:00:00Z,bungamas,gram,100,26032,24210
2021-12-16T00:00:00Z,flexibar,gram,50,13653,12288
2021-12-16T00:00:00Z,gold_wafer_22k,dinar,1,1010,909
2021-12-16T00:00:00Z,gold_jewel,gram,1,0,209
