date,product,unit,weight_dinar,pg_sell,pg_buy
2024-10-23T00:00:00Z,gap,gram,NA,NA,0
2024-10-23T00:00:00Z,gap,gram,NA,1,0
2024-10-23T00:00:00Z,gold_bar,gram,10,4158,3784
2024-10-23T00:00:00Z,gold_bar,gram,20,8296,7633
2024-10-23T00:00:00Z,gold_bar,gram,50,20645,19096
2024-10-23T00:00:00Z,gold_bar,gram,100,41098,38221
2024-10-23T00:00:00Z,gold_bar,gram,250,102410,96265
2024-10-23T00:00:00Z,gold_bar,gram,1000,409639,385061
2024-10-23T00:00:00Z,gold_wafer_24k,dinar,1,1767,1608
2024-10-23T00:00:00Z,gold_wafer_24k,dinar,5,8835,8128
2024-10-23T00:00:00Z,gold_wafer_24k,dinar,10,17670,16345
2024-10-23T00:00:00Z,small_bar,gram,341,NA,0
2024-10-23T00:00:00Z,small_bar,gram,NA,NA,0
2024-10-23T00:00:00Z,small_bar,gram,1,1594,0
2024-10-23T00:00:00Z,small_bar,gram,1435,NA,0
2024-10-23T00:00:00Z,bungamas,gram,250,1,465
2024-10-23T00:00:00Z,bungamas,gram,1,495,1
2024-10-23T00:00:00Z,bungamas,gram,970,5,2175
2024-10-23T00:00:00Z,bungamas,gram,NA,NA,999
2024-10-23T00:00:00Z,flexibar,gram,414,376,NA
2024-10-23T00:00:00Z,gold_wafer_22k,dinar,NA,100,NA
2024-10-23T00:00:00Z,gold_jewel,gram,100,0,100
